"ID","StationName","District","Lat","Long"
"215","S Gehrenseestr. (Berlin)","Marzahn-Heissen","52.555736","13.525653"
"216","S Hermsdorf (Berlin)","Reinickendorf","52.617892","13.307859"
"217","U Zitadelle (Berlin)","Spandau","52.537522","13.217625"
"218","S Hohenschönhausen Bhf (Berlin)","Lichtenberg","52.566549","13.513698"
"219","U Sophie-Charlotte-Platz (Berlin)","Charlottenburg-Wilmersdorf","52.510970","13.297463"
"220","U Gneisenaustr. (Berlin)","Friedrichshain-Kreuzberg","52.491252","13.395382"
"221","U Parchimer Allee (Berlin)","Neukölln","52.445344","13.449925"
"222","U Britz-Süd (Berlin)","Neukölln","52.437076","13.447668"
"223","S Bergfelde","Reinickendorf","52.669695","13.321455"
"224","U Märkisches Museum/Inselstr. (Berlin)","Mitte","52.512353","13.412093"
"225","S Schönfließ","Reinickendorf","52.664633","13.338493"
"226","S Grunewald (Berlin)","Charlottenburg-Wilmersdorf","52.488680","13.261944"
"227","S Mühlenbeck-Mönchmühle","Pankow","52.653892","13.387834"
"228","S Stresow (Berlin)","Spandau","52.532481","13.209675"
"229","S Hohen Neuendorf","Reinickendorf","52.669434","13.287224"
"230","S Baumschulenweg (Berlin)","Treptow-Köpenick","52.467581","13.489505"
"231","S Plänterwald (Berlin)","Treptow-Köpenick","52.478830","13.473988"
"232","U Scharnweberstr. (Berlin)","Reinickendorf","52.567111","13.311524"
"233","U Weinmeisterstr./Gipsstr. (Berlin)","Mitte","52.524768","13.403518"
"234","S Savignyplatz (Berlin)","Charlottenburg-Wilmersdorf","52.504971","13.319820"
"235","U Schwartzkopffstr. (Berlin)","Mitte","52.535397","13.377033"
"236","S+U Wittenau (Berlin) U8","Reinickendorf","52.596290","13.334962"
"237","S+U Wittenau (Berlin) Bus","Reinickendorf","52.596290","13.334962"
"238","U Wilmersdorfer Str./Kantstr. (Berlin)","Charlottenburg-Wilmersdorf","52.506641","13.307056"
"239","S Teltow Stadt/Gonfrevillestr.","Steglitz-Zehlendorf","52.397334","13.275275"
"240","U Wilmersdorfer Str. (Berlin)","Charlottenburg-Wilmersdorf","52.505834","13.306885"
"241","S Botanischer Garten (Berlin)","Steglitz-Zehlendorf","52.447552","13.306041"
"242","U Bismarckstr. (Berlin)","Charlottenburg-Wilmersdorf","52.511513","13.305286"
"243","S Lichterfelde West (Berlin)","Steglitz-Zehlendorf","52.443262","13.294839"
"244","U Bayerischer Platz (Berlin)","Tempelhof-Schöneberg","52.488654","13.340237"
"245","U Mohrenstr./Glinkastr. (Berlin)","Mitte","52.511936","13.386610"
"246","U Viktoria-Luise-Platz (Berlin)","Tempelhof-Schöneberg","52.496169","13.343264"
"247","U Onkel Toms Hütte (Berlin)","Steglitz-Zehlendorf","52.450146","13.254016"
"248","U Weinmeisterstr. (Berlin)","Mitte","52.525376","13.405305"
"249","U Leopoldplatz (Berlin)","Mitte","52.546493","13.359395"
"250","S Olympiastadion (Berlin)","Charlottenburg-Wilmersdorf","52.511135","13.241111"
"251","U Amrumer Str. (Berlin)","Mitte","52.542202","13.349534"
"252","S Mexikoplatz (Berlin)","Steglitz-Zehlendorf","52.437166","13.232060"
"253","S+U Wedding (Berlin)","Mitte","52.542732","13.366060"
"254","U Stadtmitte/Leipziger Str. (Berlin)","Mitte","52.510324","13.389918"
"255","U Seestr. (Berlin)","Mitte","52.550470","13.351969"
"256","S Babelsberg/Lutherplatz","Steglitz-Zehlendorf","52.389967","13.089123"
"257","S Babelsberg/Schulstr.","Steglitz-Zehlendorf","52.390250","13.090541"
"258","U Alt-Tempelhof (Berlin)","Tempelhof-Schöneberg","52.465930","13.385796"
"259","S+U Tempelhof (Berlin)","Tempelhof-Schöneberg","52.470694","13.385754"
"260","U Paulsternstr. (Berlin)","Spandau","52.538098","13.248593"
"261","U Haselhorst (Berlin)","Spandau","52.539012","13.231757"
"262","U Reinickendorfer Str./Fennstr. (Berlin)","Mitte","52.541524","13.369412"
"263","U Stadtmitte U6 (Berlin)","Mitte","52.511179","13.389827"
"264","U Stadtmitte U2 (Berlin)","Mitte","52.512169","13.389711"
"265","U Wutzkyallee (Berlin)","Neukölln","52.423152","13.474820"
"266","U Zwickauer Damm (Berlin)","Neukölln","52.423032","13.484371"
"267","S Mahlsdorf (Berlin)","Marzahn-Heissen","52.511961","13.612211"
"268","U Paracelsus-Bad/Aroser Allee (Berlin)","Reinickendorf","52.574002","13.350806"
"269","U Alt-Mariendorf (Berlin)","Tempelhof-Schöneberg","52.439115","13.387881"
